colony_id	name	canonical_name	wikidata_id	modern_nation_qids	established_year	end_date	region	colony_type	capital	successor_dominion	qid_scope_note
acadia_french_1604_1713	Acadia (French)	Acadia	Q207353	Q16	1604	1713-04-11	North America	Colonial Territory			
achrol_1600_2000	Achrol		Q21075277				South Asia	Princely State		india	
aden_1839_1963	Aden Province	Aden Province	Q17509767	Q805	1839	1937-03-31	Middle East	Colony/Protectorate			
aden_colony_1937_1967	Aden Colony	Aden Colony	Q49910	Q805	1937	1967-11-30	Middle East	Crown Colony			
aden_protectorate_1839_1967	Aden Protectorate	Aden Protectorate	Q1865132	Q805	1869	1967-11-30	Middle East	Protectorate			
ahirwal	Ahirwal		Q4695139				South Asia	Princely State		india	
ajaigarh_state_1765_1949	Ajaigarh State		Q5301066				South Asia	Princely State	Ajaigarh	india	
ajmer_merwara_1818_1947		Ajmer-Merwara	Q412980		1818		South Asia	Province			Q412980 dissolved 1936 per WD (file 1947); 1936 was reorganization, administered until 1947.
akkalkot_state_1725_1948	Akkalkot State		Q3963975				South Asia	Princely State		india	
akora_1800_1849	Akora		Q28137490				South Asia	Princely State		pakistan	
alampur	Alampur		Q28171846				South Asia	Princely State		india	
alberta_1905		Alberta	Q1951		1905		North America	Province			
aldabra_islands_1903_1965	Aldabra Islands	Aldabra Islands	Q1426882	Q1042	1903	1965-11-08	Africa (Islands)	Dependency			
alipura_state_1757_1947	Alipura State		Q4726842				South Asia	Princely State		india	
alirajpur_state_1437_1948	Alirajpur State		Q4726858				South Asia	Princely State		india	
alwar_state_1770_1949	Alwar State		Q1553143				South Asia	Princely State	Alwar	india	
amala_state	Amala State		Q11942776				South Asia	Princely State		india	
amb_state_1900_1969	Amb State		Q2841472				South Asia	Princely State		pakistan	
ambliara_state_1600_1943	Ambliara State		Q11905286				South Asia	Princely State		india	
anandpur_state	Anandpur State		Q11905441				South Asia	Princely State		india	
andaman_and_nicobar_islands_1789_1947		Andaman and Nicobar Islands	Q40888		1789		South Asia	Province			Q40888 is modern Indian union territory (since 1956); file row covers earlier British colonial period 1789-1947 not separately represented in WD.
angadh_estate_1874_1947	Angadh Estate		Q104151568				South Asia	Princely State		india	
anghar	Anghar		Q11905609				South Asia	Princely State		india	
anguilla_1650_ongoing	Anguilla	Anguilla	Q25228	Q25228	1650		Caribbean	Crown Colony			
antigua_colony_1632_1981	Antigua Colony	Antigua Colony	Q130386222	Q781	1632	1981-11-01	Caribbean	Crown Colony			Q130386222 Colony of Antigua covers a narrower period than file's full 1632-1981 (WD entity flag images dated 1956-1967); no broader colony entity in WD.
ascension_island_1815_ongoing	Ascension Island	Ascension Island	Q46197	Q192184	1815		Africa (Islands)	Dependency			
ashanti_1901_1957	Ashanti	Ashanti	Q96372444	Q117	1901	1957-01-01	West Africa	Crown Colony			
assam_bengal_presidency_1826_1874	Assam (Bengal Presidency)	Assam (Bengal Presidency)	Q817165	Q668	1826	1874-02-06	South Asia	Province of British India			Q817165 is the parent Bengal Presidency (also assigned to bengal_presidency_company and bengal_presidency_crown rows); file row covers Assam-within-Bengal sub-period 1826-1874.
assam_province_1874_1905	Assam Province (1874-1905)	Assam Province (1874-1905)	Q17513379	Q668	1874	1905-10-16	South Asia	Province			Q17513379 is the restored Assam Province 1912-1947 (also assigned to assam_province_restored_1912_1947); file row covers the earlier 1874-1905 Chief Commissioner's Province (no separate WD entity).
assam_province_restored_1912_1947	Assam Province (Restored)	Assam Province (Restored)	Q17513379	Q668	1912	1947-08-15	South Asia				[QID_REUSED] Same Q17513379 also assigned to assam_province_1874_1905; this row is the correct match (inception 1912)
athgarh_state_1178_1949	Athgarh State		Q2869051				South Asia	Princely State		india	
athmallik_state_1874_1948	Athmallik State		Q17513838				South Asia	Princely State		india	
aundh_state_1699_1948	Aundh State		Q2871819				South Asia	Princely State		india	
australia_independent_1942		Australia	Q408		1942		Pacific	Independence			
avchar_state	Avchar State		Q21075165				South Asia	Princely State		india	
babariawad_1947	Babariawad		Q4837532				South Asia	Princely State		india	
badu	Badu		Q11907536				South Asia	Princely State		india	
baghal_state_1310_1948	Baghal State		Q2879034				South Asia	Princely State		india	
baghat_state_1600_1948	Baghat State		Q520403				South Asia	Princely State		india	
bahamas_colony_1666_1973	Bahamas Colony	Bahamas Colony	Q21815597	Q778	1666	1973-07-10	Caribbean	Crown Colony			Q21815597 inception 1718 (file's 1666 reflects earliest English settlement); 1973 dissolved exact match.
bahawalpur_state_1690_1955	Bahawalpur State		Q800236				South Asia	Princely State	Bahawalpur	pakistan	
bahrain_protectorate_1861_1971	Bahrain Protectorate	Bahrain Protectorate	Q21816225	Q398	1861	1971-08-15	Middle East	Protectorate			
bajana_state	Bajana State		Q11907630				South Asia	Princely State		india	
baker_island_1855_1898	Baker Island	Baker Island	Q46879	Q30	1897	1898-07-07	Pacific (Guano/Whaling)	Guano Island			
bakhatgarh	Bakhatgarh		Q28419349				South Asia	Princely State		india	
balasinor_state_1758_1948	Balasinor State		Q17514653				South Asia	Princely State	Balasinor	india	
balladhdarh_state_1710_1867	Balladhdarh State		Q104152096				South Asia	Princely State		india	
baluchistan_1877_1947	Baluchistan	Baluchistan	Q3303188	Q843	1877	1947-01-01	South Asia	Province			
bamanbore_state	Bamanbore State		Q11907764				South Asia	Princely State	Bamanbore	india	
bamra_state_1545_1948	Bamra State		Q806019				South Asia	Princely State		india	
banda_1790_1858	Banda		Q806233				South Asia	Princely State		india	
banda_islands_british_occupation_1810_1817	Banda Islands (British Occupation)	Banda Islands (British Occupation)	Q18639233	Q252	1810	1817-01-01	Southeast Asia	Military Administration			Q18639233 covers the broader French/British interregnum in the Dutch East Indies 1806-1816; file row covers Banda Islands sub-period of British rule 1810-1817.
banganapalle_state_1790_1948	Banganapalle State		Q13389050				South Asia	Princely State	Banaganapalle	india	
bansda_1781_1948	Bansda		Q4857117				South Asia	Princely State		india	
banswara_state_1497_1949	Banswara State		Q806963				South Asia	Princely State	Banswara	india	
bantva_manavadar_state_1760_1947	Bantva Manavadar State		Q918500				South Asia	Princely State		india	
baoni_state_1784_1948	Baoni State		Q807069				South Asia	Princely State		india	
baramba_state_1305_1949	Baramba State		Q2883798				South Asia	Princely State		india	
baraundha_state_1169_1950	Baraundha State		Q807288				South Asia	Princely State		india	
barbados_colony_1627_1966	Barbados Colony	Barbados Colony	Q63973349	Q244	1627	1966-11-30	Caribbean	Crown Colony			
baria_state_1524_1948	Baria State		Q2884562				South Asia	Princely State		india	
baroda_state_1721_1949	Baroda State		Q808575				South Asia	Princely State	Vadodara	india	
barpali	Barpali		Q11908231				South Asia	Princely State		india	
barwala_state	Barwala State		Q11908637				South Asia	Princely State		india	
barwani_state_836_1948	Barwani State		Q809652				South Asia	Princely State	Barwani	india	
bashahr_state_1412_1948	Bashahr State		Q809955				South Asia	Princely State		india	
basoda_state_1753_1947	Basoda State		Q810432				South Asia	Princely State		india	
bastar_state_1853_1948	Bastar State		Q810557				South Asia	Princely State	Jagdalpur	india	
basutoland_1868_1966	Basutoland	Basutoland	Q2340665	Q1013	1868	1966-01-01	Southern Africa	Crown Colony			
baudh_state_1874_1948	Baudh State		Q894995				South Asia	Princely State		india	
