colony_id	name	canonical_name	wikidata_id	modern_nation_qids	established_year	end_date	region	colony_type	capital	successor_dominion	qid_scope_note
bavra_state	Bavra State		Q11908840				South Asia	Princely State		india	
bay_islands_1852_1859		Bay Islands	Q107987587		1852		Caribbean	Crown Colony			Q107987587 dissolved 1862 per WD (file 1859); minor end-date variance.
bechuanaland_protectorate_1884_1966	Bechuanaland Protectorate	Bechuanaland Protectorate	Q747314	Q963	1884	1966-01-01	Southern Africa	Protectorate			
beja_state_1800_1948	Beja State		Q2902467				South Asia	Princely State		india	
benares_state_1770_1948	Benares State		Q1375154				South Asia	Princely State	Varanasi	india	
bencoolen_bengkulu_1685_1824	Bencoolen (Bengkulu)	Bencoolen (Bengkulu)	Q4969562	Q252	1685	1824-03-17	Southeast Asia	Trading Post			
bengal_presidency_company_1757_1858	Bengal Presidency (Company)	Bengal Presidency (Company)	Q817165	Q668;Q902	1757	1858-11-01	South Asia	Presidency			[QID_REUSED_TOO_BROAD] Q817165 covers full Bengal Presidency 1690-1947 (both Company rule 1757-1858 AND Crown rule 1858-1947); same QID assigned to bengal_presidency_crown_1858_1912; no narrower entity for the Company-rule sub-period found
bengal_presidency_crown_1858_1912	Bengal Presidency (Crown)	Bengal Presidency (Crown)	Q817165	Q668;Q902	1858	1905-10-16	South Asia	Presidency			[QID_REUSED] Q817165 also assigned to bengal_presidency_company_1757_1858; this row's 1858-1947 Crown period is closer match to WD inception-dissolution but QID still spans both eras
berbice_colony_1803_1831		Berbice	Q675322		1803		South America	Crown Colony			Q675322 covers Dutch+British Berbice 1627-1815 (merged into British Guiana); file row's 1803-1831 is the British sub-period.
beri_state_1750_1950	Beri State		Q11909106				South Asia	Princely State		india	
bermuda_1609_ongoing	Bermuda	Bermuda	Q23635	Q23635	1609		Atlantic	Crown Colony			
bhabar_state	Bhabar State		Q21076367				South Asia	Princely State		india	
bhadli_state	Bhadli State		Q11909248				South Asia	Princely State		india	
bhadvana_state	Bhadvana State		Q21075443				South Asia	Princely State		india	
bhaisunda_1812_1948	Bhaisunda		Q11909259				South Asia	Princely State		india	
bhajji_state_1800_1948	Bhajji State		Q642037				South Asia	Princely State		india	
bhalala	Bhalala		Q11909260				South Asia	Princely State		india	
bhandaria	Bhandaria		Q11909266				South Asia	Princely State		india	
bharatpur_state_1680_1948	Bharatpur State		Q854850				South Asia	Princely State	Bharatpur	india	
bharauli_state	Bharauli State		Q11909267				South Asia	Princely State		india	
bharejda	Bharejda		Q21075444				South Asia	Princely State		india	
bhathan_state	Bhathan State		Q17588101				South Asia	Princely State		india	
bhavnagar_state_1723_1948	Bhavnagar State		Q854917				South Asia	Princely State	Bhavnagar	india	
bhayavadar	Bhayavadar		Q11909279				South Asia	Princely State		india	
bhith_bhagwanpur_state_1711_1948	Bhith Bhagwanpur State		Q104152097				South Asia	Princely State		india	
bhoika_state	Bhoika State		Q11909287				South Asia	Princely State		india	
bhojavadar	Bhojavadar		Q21075445				South Asia	Princely State		india	
bhopal_state_1723_1947	Bhopal State		Q855044				South Asia	Princely State	Bhopal	india	
bhor_state_1697_1948	Bhor State		Q855058				South Asia	Princely State		india	
bhowal_state	Bhowal State		Q21075310				South Asia	Princely State		india	
bihar_and_orissa_1912_1947	Bihar and Orissa	Bihar and Orissa	Q4907084	Q668	1912	1947-08-15	South Asia	Province			[DATE_RANGE_MISMATCH] Q4907084 is correct entity (province of British India inception 1912) but Wikidata dissolved date is 1936 not 1947; in 1936 the unified province split into separate Bihar Province and Orissa Province (Q7102849); file row's 1912-1947 span covers a period when this unified entity did not exist (1936-1947)
bihat_state	Bihat State		Q11909349				South Asia	Princely State		india	
bihora_state	Bihora State		Q21075380				South Asia	Princely State		india	
bijawar_state_1765_1950	Bijawar State		Q7905915				South Asia	Princely State	Bijawar	india	
bikaner_state_1465_1947	Bikaner State		Q859966				South Asia	Princely State	Bikaner	india	
bilbari_state	Bilbari State		Q11909369				South Asia	Princely State		india	
bildi_state	Bildi State		Q11909376				South Asia	Princely State		india	
birnie_island_1860_1979	Birnie Island	Birnie Island	Q45295	Q710	1860	1979-07-12	Pacific (Guano/Whaling)	Guano Island			
bombay_presidency_company_1687_1858	Bombay Presidency (Company)	Bombay Presidency (Company)	Q891827	Q668	1687	1858-11-01	South Asia	Presidency			[QID_REUSED_TOO_BROAD] Q891827 covers full Bombay Presidency 1668-1947 (both Company rule 1687-1858 AND Crown rule 1858-1947); same QID assigned to bombay_presidency_crown_1858_1947; no narrower entity for the Company-rule sub-period found - same pattern as Bengal Presidency
bombay_presidency_crown_1858_1947	Bombay Presidency (Crown)	Bombay Presidency (Crown)	Q891827	Q668	1858	1947-08-15	South Asia	Presidency			[QID_REUSED] Q891827 also assigned to bombay_presidency_company_1687_1858; this row's 1858-1947 Crown period is closer match to WD inception-dissolution but QID still spans both eras
bonai_state_1200_1948	Bonai State		Q892061				South Asia	Princely State		india	
bouvet_island_brief_claim_1825_1928	Bouvet Island (Brief Claim)	Bouvet Island (Brief Claim)	Q23408	Q31747	1825	1928-01-01	Antarctica	Remote Island			
british_bechuanaland_1885_1895	British Bechuanaland	British Bechuanaland	Q4530733	Q963	1885	1895-01-01	Southern Africa	Crown colony			
british_cameroons_1916_1961	British Cameroons	British Cameroons	Q1028835	Q1033;Q1009	1916	1961-01-01	West Africa	Mandate/Trust Territory			
british_central_africa_protectorate_1891_1907	British Central Africa Protectorate	British Central Africa Protectorate	Q2642989	Q1020	1891	1907-07-06	Southern Africa	Protectorate			
british_columbia_province_1871		British Columbia	Q1973		1871		North America	Province			
british_gold_coast_1821_1874	British Gold Coast	British Gold Coast	Q503623	Q117	1821	1874-07-24	West Africa	Crown Colony			[QID_REUSED_TOO_BROAD] Q503623 covers full Gold Coast Colony 1821-1957 (capital Accra replaced by Ghana); same QID assigned to gold_coast_colony_1874_1957 (row 252); file's pre-1874 'British Gold Coast' sub-period and post-1874 'Gold Coast Colony' both map to single WD entity - same pattern as Bengal/Bombay Presidency
british_guiana_1831_1966	British Guiana	British Guiana	Q918126	Q734	1831	1966-05-26	South America	Crown Colony			
british_honduras_1862_1981	British Honduras	British Honduras	Q1643555	Q242	1862	1981-09-21	Caribbean	Crown Colony			
british_new_guinea_1884_1906	British New Guinea	British New Guinea	Q2645837	Q691	1884	1906-09-01	Pacific	Protectorate			
british_north_borneo_1882_1946	British North Borneo	British North Borneo	Q1147441	Q833	1882	1946-07-15	Southeast Asia	Company Territory			
british_solomon_islands_1893_1978	British Solomon Islands	British Solomon Islands	Q13410267	Q685	1893	1978-07-07	Pacific	Protectorate			
british_somaliland_1884_1960	British Somaliland	British Somaliland	Q662653	Q1045	1884	1960-01-01	Middle East	Protectorate			
british_south_africa_company_territory_1889_1923	British South Africa Company Territory	British South Africa Company Territory	Q5155572	Q258	1889	1923-10-01	Southern Africa	Company Territory			
british_togoland_1919_1957	British Togoland	British Togoland	Q797527	Q117	1919	1957-03-06	West Africa	Mandate			
british_virgin_islands_1672_ongoing	British Virgin Islands	British Virgin Islands	Q25305	Q25305	1672		Caribbean	Crown Colony			
british_western_pacific_territories_1877_1978	British Western Pacific Territories	British Western Pacific Territories	Q1545934	Q712;Q685;Q672;Q710	1877	1978-07-07	Pacific	Administration			
british_windward_islands_1833_1959	British Windward Islands	British Windward Islands	Q2660774	Q760;Q757;Q784;Q769	1833	1959-01-01	Caribbean	Federal Colony			
brunei_protectorate_1888_1984	Brunei Protectorate	Brunei Protectorate	Q921	Q921	1888	1984-01-01	Southeast Asia	Protectorate			
bundi_state_1342_1949	Bundi State		Q4997536				South Asia	Princely State	Bundi	india	
burma_british_india_1886_1937	Burma (British India)	Burma (British India)	Q2376315	Q668;Q843;Q902	1886	1937-04-01	South Asia	Province			[QID_REUSED_TOO_BROAD] Q2376315 covers full British rule in Myanmar 1824-1948 (capital Yangon); same QID assigned to burma_separate_colony_1937_1948 (row 133); file's pre-1937 'Burma as British India province' and post-1937 'Separate Colony' both map to single WD entity - same pattern as Bengal/Bombay/Gold Coast
burma_separate_colony_1937_1948	Burma (Separate Colony)	Burma (Separate Colony)	Q2376315	Q836	1937	1948-01-04	South Asia	Crown Colony			[QID_REUSED] Q2376315 also assigned to burma_british_india_1886_1937; this row's 1937-1948 Separate Colony period is closer to WD dissolved date (1948-01-04) but QID still spans both 1824-1948 eras
cambay_state_1730_1948	Cambay State		Q1028095				South Asia	Princely State		india	
campbell_island_whaling_1810_1860	Campbell Island Whaling	Campbell Island Whaling	Q3593036	Q664	1810	1860-12-31	Pacific (Guano/Whaling)	Whaling Station			
canada_dominion_of_1867_ongoing	Canada, Dominion of	Dominion of Canada	Q16	Q16	1867		North America	Dominion			
canada_independent_1931		Canada	Q16		1931		North America	Independence			
cape_breton_colony_1784_1820	Cape Breton Colony		Q107457458		1784		North America	Crown Colony			
cape_coast_castle_1664_1821	Cape Coast Castle	Cape Coast Castle	Q1254826	Q117	1664	1821-03-07	West Africa	Trading Post			
cape_colony_british_1795_1803_1795_1803	Cape Colony (British 1795-1803)	Cape Colony (British 1795-1803)	Q4806993	Q258	1795	1803-02-25	Southern Africa	Crown Colony			[QID_REUSED_TOO_BROAD] Q4806993 covers both British occupations of Cape Colony (1795-1802 first British period AND 1806-1910 second British period); same QID assigned to cape_colony_british_1806_1910 (row 141); WD description explicitly notes both periods - file split into two rows but only one WD entity exists
cape_colony_british_1806_1910	Cape Colony (British)	Cape Colony (British)	Q4806993	Q258	1806	1910-05-31	Southern Africa	Crown Colony			[QID_REUSED] Q4806993 also assigned to cape_colony_british_1795_1803_1795_1803; this row's 1806-1910 second British period and the earlier 1795-1803 first period both map to single WD entity
cape_colony_dutch_1652_1795	Cape Colony (Dutch)	Cape Colony (Dutch)	Q4807130	Q258	1652	1795-09-16	Southern Africa	Dutch Company Colony			[QID_REUSED_TOO_BROAD] Q4807130 covers both Dutch occupations of Cape Colony (1652-1795 first Dutch period AND 1802-1806 restored Dutch period); same QID assigned to cape_colony_dutch_restored_1803_1806 (row 143); WD description explicitly notes both periods
cape_colony_dutch_restored_1803_1806	Cape Colony (Dutch Restored)	Cape Colony (Dutch Restored)	Q4807130	Q258	1803	1806-01-10	Southern Africa	Dutch Colony			[QID_REUSED] Q4807130 also assigned to cape_colony_dutch_1652_1795; this row's 1803-1806 restored Dutch period and earlier 1652-1795 first period both map to single WD entity
carnatic_state_1692_1855	Carnatic state		Q3277580				South Asia	Princely State	Arcot	india	
caroline_island_1868_1979	Caroline Island	Caroline Island	Q822151	Q710	1868	1979-07-12	Pacific (Guano/Whaling)	Guano Island			
cayman_islands_1670_ongoing	Cayman Islands	Cayman Islands	Q5785	Q5785	1670		Caribbean	Crown Colony			
central_provinces_1861_1947	Central Provinces	Central Provinces	Q521864	Q668	1861	1947-08-15	South Asia	Province			
ceylon_1795_1948	Ceylon	Ceylon	Q918153	Q854	1795	1948-01-01	South Asia	Crown Colony			
chagos_islands_mauritius_dependency_1814_1965	Chagos Islands (Mauritius Dependency)	Chagos Islands (Mauritius Dependency)	Q192188	Q1027	1814	1965-11-08	South Asia	Dependency			
chamardi_state	Chamardi State		Q11913589				South Asia	Princely State		india	
chamba_state_550_1948	Chamba State		Q1060520				South Asia	Princely State	Chamba	india	
changbhakar_1790_1948	Changbhakar		Q932370				South Asia	Princely State		india	
charkhari_state_1765_1947	Charkhari State		Q2624304				South Asia	Princely State	Charkhari	india	
chaube_jagirs_1812_1948	Chaube Jagirs		Q11927113				South Asia	Princely State		india	
chhatarpur_state_1785_1950	Chhatarpur State		Q1071493				South Asia	Princely State	Chhatarpur	india	
chhota_udaipur_state_1743_1948	Chhota Udaipur State		Q17986421				South Asia	Princely State	Chhota Udepur	india	
chhuikhadan_state_1750_1950	Chhuikhadan State		Q2963204				South Asia	Princely State		india	
chinchli_gaded_state	Chinchli Gaded State		Q11913671				South Asia	Princely State		india	
chitral_state_1571_1969	Chitral State		Q11317232				South Asia	Princely State	Chitral	pakistan	
chobari_state	Chobari State		Q11913700				South Asia	Princely State		india	
chorangla_state	Chorangla State		Q21075382				South Asia	Princely State		india	
chota_nagpur_states_1821_1947	Chota Nagpur States		Q5105376				South Asia	Princely State		india	
chotila	Chotila		Q11913712				South Asia	Princely State		india	
christmas_island_1888_1958	Christmas Island	Christmas Island	Q31063	Q31063	1888	1958-10-01	Pacific	Crown Colony			Q31063 is modern Australian external territory (since 1958); file row covers earlier British colonial period 1888-1958 not separately represented in WD.
christmas_island_line_islands_1857_1979	Christmas Island (Line Islands)	Christmas Island (Line Islands)	Q193331	Q710	1857	1979-07-12	Pacific (Guano/Whaling)	Guano Island			
chuda_state	Chuda State		Q17318475				South Asia	Princely State		india	
cocos_keeling_islands_1857_1955	Cocos (Keeling) Islands	Cocos (Keeling) Islands	Q36004	Q36004	1857	1955-11-23	Pacific	Crown Colony			Q36004 is modern Australian external territory (since 1955); file row covers earlier British colonial period 1857-1955 not separately represented in WD.
colony_and_protectorate_of_nigeria_1914_1960	Colony and Protectorate of Nigeria	Colony and Protectorate of Nigeria	Q2046345	Q1033	1914	1960-01-01	West Africa	Colony/Protectorate			
colony_of_natal_1843_1910	Colony of Natal	Colony of Natal	Q1301901	Q258	1843	1910-05-31	Southern Africa	Crown Colony			
colony_of_newfoundland_1610_1949	Colony of Newfoundland	Colony of Newfoundland	Q2984260	Q16	1610	1949-03-31	North America	Crown Colony			[DATE_RANGE_MISMATCH] Q2984260 is correct entity (Newfoundland Colony inception 1610 capital St Johns) but Wikidata dissolved date is 1907 not 1949; in 1907 it became Dominion of Newfoundland (separate entity); file row's 1610-1949 conflates colonial period and Dominion period (which ended when Newfoundland joined Canada)
commonwealth_of_australia_1901_ongoing	Commonwealth of Australia	Commonwealth of Australia	Q408	Q408	1901		Pacific	Dominion			
connecticut_colony_1636_1783	Connecticut Colony	Connecticut Colony	Q951500	Q30	1636	1783-09-03	North America	Charter Colony			
cooch_behar_1586_1949	Cooch Behar		Q509572				South Asia	Princely State		india	
cook_islands_1888_1901	Cook Islands	Cook Islands	Q26988	Q26988	1888	1901-06-11	Pacific	Protectorate			Q26988 is modern Cook Islands self-governing state (since 1965); file row covers earlier British protectorate period 1888-1901 not separately represented in WD.
coorg_province_1834_1947		Coorg	Q24905912		1834		South Asia	Province			Q24905912 dissolved 1950 per WD (file 1947); the 1947-1950 sub-period was post-independence Coorg State successor.
corsica_1794_1796		Anglo-Corsican Kingdom	Q83536		1794		Europe	Protectorate			
cutch_state_1147_1948	Cutch State		Q1720882				South Asia	Princely State	Bhuj	india	
cyprus_1878_1960	Cyprus	Cyprus	Q15240466	Q229	1878	1960-08-16	Europe	Crown Colony			
dabri_state	Dabri State		Q11916465				South Asia	Princely State		india	
danta_state_1061_1948	Danta State		Q17513023				South Asia	Princely State		india	
darkoti_1100_1948	Darkoti		Q3016348				South Asia	Princely State		india	
daspalla_1498_1948	Daspalla		Q11916643				South Asia	Princely State		india	
datarpur_1550_1849	Datarpur		Q11916665				South Asia	Princely State		india	
datia_state_1626_1950	Datia State		Q1172600				South Asia	Princely State	Datia	india	
dawa_state	Dawa State		Q11916720				South Asia	Princely State		india	
deception_island_whaling_1906_1931	Deception Island Whaling	Deception Island Whaling	Q1045820	Q35086	1906	1931-12-31	Antarctica	Whaling Station			Modern_nation_qids field uses Q35086 (South Georgia & Sandwich BOT) but Deception Island is in the South Shetlands (part of British Antarctic Territory Q165783); minor data-quality variance.
dedhrota	Dedhrota		Q131126101				South Asia	Princely State		india	
dedhrota_1900_1947	Dedhrota		Q11916768				South Asia	Princely State		india	
delaware_colony_1664_1783	Delaware Colony	Delaware Colony	Q2571194	Q30	1664	1783-09-03	North America	Proprietary Colony			
deloli_state	Deloli State		Q21076401				South Asia	Princely State		india	
demerara_colony_1803_1831		Demerara	Q1185346		1803		South America	Crown Colony			Q1185346 covers Dutch+British Demerara 1745-1815 (merged into British Guiana); file row's 1803-1831 is the British sub-period.
deogarh	Deogarh		Q11916911				South Asia	Princely State		india	
derbhavti_state	Derbhavti State		Q11916930				South Asia	Princely State		india	
derol	Derol		Q11916942				South Asia	Princely State		india	
desroches_islands_1903_1965	Desroches Islands	Desroches Islands	Q620506	Q1042	1903	1965-11-08	Africa (Islands)	Dependency			
dewas_state_1728_1948	Dewas State		Q1207105				South Asia	Princely State	Dewas	india	
dhadi	Dhadi		Q17600192				South Asia	Princely State		india	
dhami_state_1815_1948	Dhami (state)		Q3025690				South Asia	Princely State		india	
dhar_state_1728_1947	Dhar State		Q1207561				South Asia	Princely State	Dhar	india	
dharampur_state_1262_1948	Dharampur State		Q5269129				South Asia	Princely State	Dharampur	india	
dhenkanal_state_1529_1948	Dhenkanal State		Q1207641				South Asia	Princely State		india	
dholpur_state_1806_1948	Dholpur State		Q657861				South Asia	Princely State	Dholpur	india	
dhrangadhra_state_1742_1948	Dhrangadhra State		Q16829581				South Asia	Princely State	Dhrangadhra	india	
dhrol_state_1595_1948	Dhrol State		Q18111824				South Asia	Princely State		india	
dhurwai_1690_1950	Dhurwai		Q11917045				South Asia	Princely State		india	
dir_state_1900_1969	Dir State		Q3243592				South Asia	Princely State	Dir	pakistan	
dodka	Dodka		Q11917542				South Asia	Princely State		india	
dominica_colony_1763_1978	Dominica Colony	Dominica Colony	Q784	Q784	1763	1978-11-03	Caribbean	Crown Colony			Q784 is modern Dominica sovereign state (since 1978); file row's 1763-1978 colonial precursor not separately represented in WD.
dominion_of_india_1947_1950	Dominion of India	Dominion of India	Q1775277	Q668;Q843;Q902	1947	1950-01-26	South Asia	Dominion			
dominion_of_new_zealand_1907_1947		Dominion of New Zealand	Q664		1907		Pacific	Dominion			
dominion_of_newfoundland_1907_1934	Dominion of Newfoundland	Dominion of Newfoundland	Q38610	Q16	1907	1949-03-31	North America	Dominion			
dominion_of_pakistan_1947_1956	Dominion of Pakistan	Dominion of Pakistan	Q2006542	Q843	1947	1956-03-23	South Asia	Dominion			
ducie_island_1902_ongoing	Ducie Island	Ducie Island	Q1122663	Q35672	1902		Pacific (Guano/Whaling)	Remote Island			Q1122663 is the geographic atoll; file row tracks British administrative period via Pitcairn Islands.
dumraon_raj	Dumraon Raj		Q21076409				South Asia	Princely State		india	
dungarpur_state_1197_1947	Dungarpur State		Q973433				South Asia	Princely State	Dungarpur	india	
east_africa_protectorate_1895_1920	East Africa Protectorate	East Africa Protectorate	Q876185	Q114	1895	1920-07-23	East Africa	Protectorate			
east_florida_1763_1783	East Florida		Q1770351		1763		North America	Crown Colony			
eastern_bengal_and_assam_1905_1912	Eastern Bengal and Assam	Eastern Bengal and Assam	Q4126447	Q668;Q902	1905	1912-12-12	South Asia	Province			
egypt_1882_1922	Egypt	Egypt	Q2474428	Q79	1882	1922-01-01	Middle East	Occupation/Protectorate			
ellice_islands_1976_1978	Ellice Islands	Ellice Islands	Q109039320	Q672	1976	1978-10-01	Pacific	Crown Colony			Q109039320 WD inception 1975 (file 1976); 1975 referendum, 1976 formal split from Gilbert.
ellice_islands_separate_1892_1916	Ellice Islands (Separate)	Ellice Islands (Separate)	Q3593530	Q672	1892	1916-01-12	Pacific	Crown Colony			
enderbury_island_1860_1979	Enderbury Island	Enderbury Island	Q30638	Q710	1860	1979-07-12	Pacific (Guano/Whaling)	Guano Island			
essequibo_colony_1803_1831		Essequibo	Q1368792		1803		South America	Crown Colony			Q1368792 covers Dutch+British Essequibo 1616-1815 (merged into British Guiana); file row's 1803-1831 is the British sub-period.
factory_at_surat_1612_1857	Factory at Surat	Factory at Surat	Q19898523	Q668	1612	1857-05-10	South Asia	Trading Post			
falkland_islands_1833_ongoing	Falkland Islands	Falkland Islands	Q9648	Q9648	1833		Atlantic	British Overseas Territory			
faridkot_state_1803_1947	Faridkot State		Q1396700				South Asia	Princely State	Faridkot	india	
farquhar_islands_1903_1965	Farquhar Islands	Farquhar Islands	Q967943	Q1042	1903	1965-11-08	Africa (Islands)	Dependency			
farrukhabad	Farrukhabad		Q11921599				South Asia	Princely State		india	
federal_colony_leeward_islands_1833-1960	Federal Colony of the Leeward Islands	British Leeward Islands	Q1796551	Q781;Q763;Q13353;Q25305	1833	1960-01-01	Caribbean				
federated_malay_states_1895_1946	Federated Malay States	Federated Malay States	Q1400154	Q833	1895	1946-04-01	Southeast Asia	Protectorate			
federation_of_malaya_1948_1957	Federation of Malaya	Federation of Malaya	Q1479726	Q833	1948	1957-08-31	Southeast Asia	Federation			
federation_of_rhodesia_and_nyasaland_1953_1963	Federation of Rhodesia and Nyasaland	Federation of Rhodesia and Nyasaland	Q654342	Q954;Q953	1953	1963-12-31	Southern Africa	Federation			
